tweet,cleaned_text,class,label,token_count
"""@BestProAdvice: The facts on tattoos...tattoo http://t.co/ZwnbhpDZ8e"" he's a pussy with not tattooing them nipples",fact tattoostattoo he pussy tattooing nipple,1,1,6
"""@Bill215_: &#128175;&#128175;&#128175; RT @nel_ayden Bitches be wanting to act like niggas so bad &#128553;&#128553;&#128553; that shit aint cuteeeee"" but niggas act like bitches..",rt bitch wanting act like nigga bad shit aint cuteeeee nigga act like bitch,1,1,14
"""@BitchJones92: Get worshiping bitch! http://t.co/R37CejCjou"" woof woof",get worshiping bitch woof woof,1,1,5
"""@BlackChiquitita: Wow. RT @thatmanpalmer I'm lost. Are those buttcheek piercings? http://t.co/yn6guyOUQ6"" yeah she's a hoe",wow rt im lost buttcheek piercings yeah shes hoe,1,1,9
"""@BlackNerdJade: Ok, sis."" She'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her",ok si shed rather broke bitch shrug shell tell work,1,1,10
"""@Blackman38Tide: @WhaleLookyHere @HowdyDowdy11 queer"" gaywad",queer gaywad,0,1,2
"""@BrokenPiecesmsc: @ItsNotAdam faggot read my tweets after dat k"" it wasn't even funny lol",faggot read tweet dat k wasnt even funny lol,1,1,9
"""@BrosConfessions: This bitch was so ungrateful http://t.co/06e77bGwbx"" fr ..... LULWHORE",bitch ungrateful fr lulwhore,1,1,4
"""@CASHandBOOBIES: I been kidnapped yo bitch""",kidnapped yo bitch,1,1,3
"""@CB_Baby24: @white_thunduh alsarabsss"" hes a beaner smh you can tell hes a mexican",alsarabsss he beaner smh tell he mexican,0,1,7
"""@CCobey: @AydanMcCoy happy birthday nigs"" Thanks yo",happy birthday nigs thanks yo,1,1,5
"""@CHlLDHOODRUINER: when ur teacher tells u that u have homework https://t.co/RKk5vawIj1"" this bitch need to go!!!",ur teacher tell u u homework bitch need go,1,1,9
"""@CaelanG15: ""@22EdHam: @CaelanG15 that nigga was eating that hoe lol"" Hell Yea lol john Paul"" nigga said john paul.. http://t.co/OSIpBKPr9h",nigga eating hoe lol hell yea lol john paul nigga said john paul,1,1,13
"""@CanIFuckOrNah: What would y'all lil ugly bald headed bitches do if they stop making make-up &amp; weave?""",would yall lil ugly bald headed bitch stop making makeup amp weave,1,1,12
"""@CarelessOne92: Leafs better win this damn game so I can go riot and shit #EarlyChristmas"" you better start looting my nig",leaf better win damn game go riot shit better start looting nig,1,1,12
"""@CauseWereGuys: Going back to school sucks more dick than the hoes who attend it.""",going back school suck dick hoe attend,1,1,7
"""@CauseWereGuys: On my way to fuck yo bitch http://t.co/j906T5zE2R"" me as a 9 year old",way fuck yo bitch year old,1,1,6
"""@CeleyNichole: @white_thunduh how come you never bring me food"" i dont have a car retard",come never bring food dont car retard,1,1,7
"""@ChadMFVerbeck: If Richnow doesn't show up with hella tinder hoes Im not his friend anymore"" chill I brought like like 8 prople",richnow doesnt show hella tinder hoe im friend anymore chill brought like like prople,1,1,14
"""@ChandlerParsons: How bout them Cowboys!!!!"" Shutup pussy",bout cowboy shutup pussy,1,1,4
"""@ClicquotSuave: LMAOOOOOOOOOOO this nigga @Krillz_Nuh_Care http://t.co/AAnpSUjmYI"" &lt;bitch want likes for some depressing shit..foh",lmaooooooooooo nigga ltbitch want like depressing shitfoh,1,1,7
"""@Coley_Cee: @lil_aerii girl you know I was spitting that G shit to you &amp; you was going lbvs""bitch plz",girl know spitting g shit amp going lbvsbitch plz,1,1,9
"""@Coley_Cee: Let me make a couple tweets off cuzzo page, so I won't get in twitter jail.""lmao bitch don't trick me again",let make couple tweet cuzzo page wont get twitter jaillmao bitch dont trick,1,1,13
"""@ComedyPosts: Harlem shake is just an excuse to go full retard for 30 seconds.""",harlem shake excuse go full retard second,1,1,7
"""@ComedyTruth: amen miley &#128591; http://t.co/P2Kb2tfyxr""okay, but she don't need to act like a hoe just bc she's ""emotionally damaged"" foh",amen miley dont need act like hoe bc shes emotionally damaged foh,1,1,12
"""@CoryBandz: having one loyal female is wayyyyy better than having hoes , idc &#128175;""",one loyal female wayyyyy better hoe idc,1,1,7
"""@Crhedrys: Pussy licking pussy.... meow meow #StopWhitePeople2014 &#128049; https://t.co/KeegDCjS5K&#8221;""""""""

&#128533;",pussy licking pussy meow meow,1,1,5
"""@DBAB_Holloway: Check out our 12th man. #CowboysNation"" even with all those faggot ny fans in the stands",check th man even faggot ny fan stand,1,1,8
"""@DGotBricks: What happen to them vixen ent bitches"" they got ran and threw to the side like a foothill bitch",happen vixen ent bitch got ran threw side like foothill bitch,1,1,11
"""@DaeDaviDavie: @white_thunduh im the bitch okay nudes pat &#128554;&#128527;&#128056;"" wow",im bitch okay nude pat wow,1,1,6
"""@DevilGrimz: @VigxRArts you're fucking gay, blacklisted hoe"" Holding out for #TehGodClan anyway http://t.co/xUCcwoetmn",youre fucking gay blacklisted hoe holding anyway,0,1,7
"""@DiamondLoudKush: The fuck be wrong with these bitches?"" Nobody knows",fuck wrong bitch nobody know,1,1,5
"""@Dietrich1892: Yall shut up:p"" make me bitch",yall shut upp make bitch,1,1,5
"""@DionaIrish: I hate a ""I'm pregnant"" type of bitch.""",hate im pregnant type bitch,1,1,5
"""@DoYou_Q: Got bitches in the DM but I don't ever read'em"" which is y your top 3",got bitch dm dont ever readem top,1,1,7
"""@DomWorldPeace: Baseball season for the win. #Yankees"" This is where the love started",baseball season win love started,2,0,5
"""@Dommoneek: Little stupid as bitch I don't fuck with yoooooouuuu..""",little stupid bitch dont fuck yoooooouuuu,1,1,6
"""@DreadheadAri: she really asked me that dead ass serious tho, all i could say was ""bitch wheet"" LOL",really asked dead as serious tho could say bitch wheet lol,1,1,11
"""@DunderbaIl: I'm an early bird and I'm a night owl, so I'm wise and have worms.""",im early bird im night owl im wise worm,2,0,9
"""@EdgarPixar: Overdosing on heavy drugs doesn't sound bad tonight."" I do that pussy shit every day.",overdosing heavy drug doesnt sound bad tonight pussy shit every day,2,0,11
"""@El_Grillo1: Pit Bulls Photographed As Lovely Fairy Tale Creatures http://t.co/Q0Sm89oOLh&#8221;

They *are* fairy tale creatures.",pit bull photographed lovely fairy tale creature fairy tale creature,2,0,10
"""@Ferocious_Ghost: @1stName_Bravo Aw."" ...fag, don't tweet ""aw"" to me lol",aw fag dont tweet aw lol,1,1,6
"""@FloKid88: As long as the Lakers trash from now on, I could careless. And that's real."". CC: @BENBALLER hahaha",long lakers trash could careless thats real cc hahaha,2,0,9
"""@Frosstyy_: @h0rheyd I didn't say anything tho"" kiss me then faggot",didnt say anything tho kiss faggot,1,1,6
"""@FunnyPicsDepot: this the ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/ZUai7qWBIR"" &#128514; yup",play soccer cheat girl wear khaki coloured cargo haircut yup,2,0,10
"""@G27Status: I could go for a fat ass bitch on my lap"" same",could go fat as bitch lap,1,1,6
"""@GEDMelle: 17 missed calls!!!! &#128544;&#128545;""Das yo P.O bitch twitter finna be screamn #FreeMoneyMelle",missed call da yo po bitch twitter finna screamn,1,1,9
"""@GTM_Al: Ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving"" lmmfao &#128514;&#128514;&#128514;&#128514;",ya side bitch gotta know rule shitanybody ask cousin jersey thinkin bout moving lmmfao,1,1,14
"""@GagaTom1: &#8220;@MaleFoot: 3 | Amo los pies http://t.co/4QE1hDkK8i&#8221;"" fuck yeah",amo los pie fuck yeah,1,1,5
"""@GirlThatsVonte: These hoes be thinking Meat won't slap they ass &#128564;&#128075;"" ainna bruh",hoe thinking meat wont slap as ainna bruh,1,1,8
"""@GirlThatsVonte: Yall bitches wit no edges be doing the most talking &#128553;&#128564;&#9995;""&#128514;&#128514;&#128514;",yall bitch wit edge talking,1,1,5
"""@GirlThatsVonte: Yall still going trick or treating this year or nah?""hell yeah ima be da sweet tooth bandit steal bitches bags n shit",yall still going trick treating year nahhell yeah ima da sweet tooth bandit steal bitch bag n shit,1,1,18
"""@Girllssues: I wanna have sex with my mom fuck her right in that pussy where I came from"" damn you got hacked like fuck",wanna sex mom fuck right pussy came damn got hacked like fuck,1,1,12
"""@Gizzy_Jones94: If she kiss u with her eyes open watch that bitch!""lmfao",kiss u eye open watch bitchlmfao,1,1,6
"""@Goofstroop: You a woulda coulda shoulda ass hoe &#128563;&#128586;""",woulda coulda shoulda as hoe,1,1,5
"""@Gotti_LTF: Happy Bday Bitch Ass Nigga @JetsAndASwisher""preciate that bitch roll up!",happy bday bitch as nigga preciate bitch roll,1,1,8
"""@HBMostDope: @1Jayee @PipinHoes used to send that bitch up""",used send bitch,1,1,3
"""@HBMostDope: Ugly bitches be like I'm my own WCW duh bitch you ain't nobody elses&#128514;&#128514;""",ugly bitch like im wcw duh bitch aint nobody elses,1,1,10
"""@HaloTGMG: @1stName_Bravo nigga you know we hacky sack hoes."" ...nah, I throw no look passes lmao",nigga know hacky sack hoe nah throw look pass lmao,1,1,10
"""@HeartlessFuck: Glad I'm getting outta Atlanta. Nothing but a bunch of niggas in &amp; outta jail &amp; dumb bitches with mad kids fuckin em.""",glad im getting outta atlanta nothing bunch nigga amp outta jail amp dumb bitch mad kid fuckin em,1,1,18
"""@HermosaAlma: This isn't ghetto.....it's smart https://t.co/MPAzQ3Jswf"" I'm doing this idc",isnt ghettoits smart im idc,2,0,5
"""@HiImJoriB: I would wife a hoe only cuz we wouldn't care that we cheating in each other."" ...why force the relationship in the first place?",would wife hoe cuz wouldnt care cheating force relationship first place,1,1,11
"""@HornyFacts: Being single isn't an excuse to be a hoe."" @TheOneMiss_Luu",single isnt excuse hoe,1,1,4
"""@HoskinsTy96: White boy power bitch"" black power bitch",white boy power bitch black power bitch,1,1,7
"""@Hudgens_11: Lets get drunk, get blowed, spit shit spark blunts &amp; fuck hoes!"" Bro white dudes have no chill.",let get drunk get blowed spit shit spark blunts amp fuck hoe bro white dude chill,1,1,16
"""@IScoutGirls: @verbally_abrupt bitch where u been"" Around the world and back. Where you been?",bitch u around world back,1,1,5
"""@ItsYahBoiRay: @anelylove if I don't get my dick sucked at yo party by a bad bitch I'm fr gone set it off &#128514;&#128514;&#128514;&#128514;"" *by @anelylove *",dont get dick sucked yo party bad bitch im fr gone set,1,1,12
"""@Itsyesie: #oomf is soooo cute. But he probably has hoes on him a lot.""",soooo cute probably hoe lot,1,1,5
"""@JAYten9: In every cartoon theirs alway a @_nuffsaid15 saving these hoes lmao. http://t.co/9uKD8wtZ6x"" lmao damn captain SaveAHoe",every cartoon alway saving hoe lmao lmao damn captain saveahoe,1,1,10
"""@JReebo: Who wants to get there nose in these bad bois then #scally #chav #sockfetish #stinking http://t.co/FeQxgN0W6I"" hot sox and legs",want get nose bad bois hot sox leg,2,0,8
"""@JamesyNBA: I wish I was a bitch like my brother keezy &#128530;"" ooooow I bet you do",wish bitch like brother keezy ooooow bet,1,1,7
"""@JasminePore: If you dressed up as a cat for Halloween you are basic."" ...or a pussy",dressed cat halloween basic pussy,1,1,5
"""@Jewelxo: Can pornhub just get a gaming stream feature so these dumb bitches can gtfo"" @Pornhub get on it Katie&lt;3",pornhub get gaming stream feature dumb bitch gtfo get katielt,1,1,10
"""@JoeBudden: stop being scared to choke her during sex u bitch ass niggas. She&#8217;ll like it."". Says the guy who hits women out of bed. FOH",stop scared choke sex u bitch as nigga shell like say guy hit woman bed foh,1,1,16
"""@Johnny55Perez: @white_thunduh ha well iguess I make them hoes loyal bro"" theyll never be loyal that y they hoes my nig",ha well iguess make hoe loyal bro theyll never loyal hoe nig,1,1,12
"""@KazAtta: @1TAKEHOV Oh man.. ""its 5 am, you off a molly, ho where the fuck ya seed at??"""" #fixed",oh man molly ho fuck ya seed,1,1,7
"""@KelsieBelsi: You're not a man if you refer to every girl as a bitch""",youre man refer every girl bitch,1,1,6
"""@KeyshawnSwag: Lmfao this cat started beating the shit out of me"" my nigga finally got some pussy?!? MY NIGGA!!!",lmfao cat started beating shit nigga finally got pussy nigga,1,1,10
"""@KeyshawnSwag: Peel up peel up bring it back up rewind back where I'm from they move Shaq from the line"" ooooow who tf said that trash!!?",peel peel bring back rewind back im move shaq line ooooow tf said trash,2,0,14
"""@KingCuh: @16stanleys io io alu record ho vine sai pe hahahaha"" lol anywaaaaaays..... haha",io io alu record ho vine sai pe hahahaha lol anywaaaaaays haha,1,1,12
"""@KingHendo95: @VonDreaam naw it's my old tape. new cover . my upcoming mixtape is #KingOfTheHill"" Yeah I'm waiting on that hoe Mayne!",naw old tape new cover upcoming mixtape yeah im waiting hoe mayne,1,1,12
"""@KingTeej_: Ol dirty foot ass bitches.."" this was too funny to me.",ol dirty foot as bitch funny,1,1,6
"""@King_Shawn_6: @white_thunduh that's where I get my yellow flags for being amazing &#128079;&#128524;"" HELL YEAH NIGGY",thats get yellow flag amazing hell yeah niggy,1,1,8
"""@KissMySmilee: Don't got time for bitches to be actin iffy.""",dont got time bitch actin iffy,1,1,6
"""@KnightfanNeal #UCFPINKPARTY come on stay alive knights nation!!!!"" This is still the early bird special. #ComeAtMeUT",come stay alive knight nation still early bird special,2,0,9
"""@KyraNadiya_: These hoes ain't loyal ; no they ain't http://t.co/h1UBsVbkGl""

Smfh &amp; wonder why nobody decent wants them",hoe aint loyal aint smfh amp wonder nobody decent want,1,1,10
"""@LCisTJ: Bruh, you studs keep thinking I'm soft as hell. Ask ya girl how many times she screamed she was my bitch. Oh okay. STFU."" BYE HOE!",bruh stud keep thinking im soft hell ask ya girl many time screamed bitch oh okay stfu bye hoe,1,1,19
"""@LODYCASH: dry pussy bitches always blame it on the condom&#128514;""&#128079;&#128514;&#128079;&#128514;",dry pussy bitch always blame condom,1,1,6
"""@LUNAraps: shut yo bitch ass up! https://t.co/IemN1u0gm5"" &#128557;&#128514;",shut yo bitch as,1,1,4
"""@LaFlareGodJosh: Gucci Mane in jail and dropping mixtapes every month and you hoes can't even text back""",gucci mane jail dropping mixtapes every month hoe cant even text back,1,1,12
"""@Latrobemark: You love these hoes more then money wats wrong these niggas""",love hoe money wats wrong nigga,1,1,6
"""@LeBronVuitton: A loyal bitch from the burbs without daddy issues is like finding a holographic Mewtwo."" ...sounding like me over there lol",loyal bitch burbs without daddy issue like finding holographic mewtwo sounding like lol,1,1,13
"""@LiLFridayHOE: Easy cum, easy hoe"" That's a fact !",easy cum easy hoe thats fact,1,1,6
"""@LifeAsBros: Charlie Sheen is too real http://t.co/gGGdK3kOV7"" major fucking respect for Charlie Sheen.",charlie sheen real major fucking respect charlie sheen,1,1,8
"""@Lightskingawdd: Wish I had a bae &#128533;""

You got all the hoes tho",wish bae got hoe tho,1,1,5
"""@Lil_Mike_12: Fuck twerking bitch can you cook ?""",fuck twerking bitch cook,1,1,4
"""@Linniekravitz: @WesGodLaFlare bitch wtf"" http://t.co/DaSmycxODB",bitch wtf,1,1,2
"""@Lipe_the_Great: &#8220;@h0rheyd: ""@Lipe_the_Great: Shut up zoe"" fight me pussy&#8221; for zoe? I'm good, man."" You are good ma'am. Move along now",shut zoe fight pussy zoe im good man good maam move along,1,1,12
"""@LolaaIsDope: Lmao fucking snake bitches"" @ em",lmao fucking snake bitch em,1,1,5
"""@Loveable_Aizah: Big booty hoes everywhere sheesh &#128525;"" damn &#127807;&#128064;&#127807;",big booty hoe everywhere sheesh damn,1,1,6
"""@MLBNetwork: Stay tuned to @MLBNetwork for an update on the report that @Yankees 1B @teixeiramark25 will be out 8-10 weeks"" @dliming35 #bum",stay tuned update report b week,2,0,6
"""@M_Rad: &#8220;@DezDLT: ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/tYCIhD6PkW&#8221; yes lmfao""@soccerboy_04",play soccer cheat girl wear khaki coloured cargo haircut yes lmfao,2,0,11
"""@MadFlyentist: Oregon chokes every year get off the field trash ass program"" RFT",oregon choke every year get field trash as program rft,1,1,10
"""@MannyDiesel: Def not cowboy lol RT @ArtofFloyd: Terrell Owens was the best Eagle &amp; Cowboy ever"" ..dude cried like a bitch on tv, over Romo",def cowboy lol rt terrell owen best eagle amp cowboy ever dude cried like bitch tv romo,1,1,17
"""@MarkRoundtreeJr: LMFAOOOO I HATE BLACK PEOPLE https://t.co/RNvD2nLCDR"" This is why there's black people and niggers",lmfaoooo hate black people there black people nigger,0,1,8
"""@Master11_: @20ToLife_ @GabrielaStarr How could u do this to me bitch"" potent",could u bitch potent,1,1,4
"""@MaxMayo77: http://t.co/3Jk4kR44X3"" a pissed lad past out. I would lick his dirty soles while he slept.",pissed lad past would lick dirty sol slept,2,0,8
"""@MaxMayo77: http://t.co/PrrskknqRv"" love frat boy w/ soft long soles",love frat boy w soft long sol,2,0,7
"""@MaxMayo77: http://t.co/XpSC3makgJ"" sexy lad with hot soles and arches.",sexy lad hot sol arch,2,0,5
"""@MegamindNick: @white_thunduh nah fam I gotta cheat with the hoes"" depends on the female i feel",nah fam gotta cheat hoe depends female feel,1,1,8
"""@Mesha_nojas: @_Vontethekidd &#128079;&#128079;&#128079;&#128079;&#128588;"" I got hicks lol",got hick lol,2,0,3
"""@Migsmichelen: This new twitter is confusing the shit out of me."" Go back to south america bitch",new twitter confusing shit go back south america bitch,1,1,9
"""@Miikito_x3: Toto means ass or vagina?""I think pussy cause toto santi is like nasty pussy",toto mean as vaginai think pussy cause toto santi like nasty pussy,1,1,12
"""@MikelaHenry: but what if he actually does choose the ugly bitch over you? &#58381;""Her ass must be fat!",actually choose ugly bitch as must fat,1,1,7
"""@MileyCyrus: bitch couldn't kill my vibe if ya tried. &#127752;&#127752;&#127752;"" dis why i love miley :*",bitch couldnt kill vibe ya tried dis love miley,1,1,9
"""@Montrell_: I'm tired of bitches saying I look mean.. &#128530;"" nigga you big af, wear tight shirts, and grim everybody.",im tired bitch saying look mean nigga big af wear tight shirt grim everybody,1,1,14
"""@MotherJones: 10 birds your grandkids may never see, thanks to climate change http://t.co/XqmXHkAsWt http://t.co/RbITeGRnhm"" #Climate",bird grandkids may never see thanks climate change,2,0,8
"""@MvckFadden: ""Stay beautiful you bitch""""",stay beautiful bitch,1,1,3
"""@NICKIMINAJ: #WutKinda

r purple. Ceeeleee""man this gurl was jus playin on the ""stupid hoe "" track. But in still shitted on sum gurls",r purple ceeeleeeman gurl jus playin stupid hoe track still shitted sum gurls,1,1,13
"""@NastyCopper: Money getting taller and bitches getting blurry""",money getting taller bitch getting blurry,1,1,6
